#{"t_start": 1765838208.0316541, "env_id": "None"}
r,l,t
-240.624996,100,2.181649
-56.366249,100,2.202624
-930.567474,100,2.236105
-169.131819,100,2.252675
-1228.637485,100,2.261096
-1173.969493,100,2.286058
-569.087031,100,2.318125
-125.160144,100,2.339711
-93.787588,100,2.357114
-153.363186,100,2.378214
-1627.949648,100,2.394953
-1.3e-05,1,2.394953
-92.854431,100,2.402659
-88.773618,100,2.444325
-96.673056,100,2.455269
-454.601935,100,2.485058
-1221.571978,100,2.500971
-370.448882,100,2.527741
-567.64656,100,2.547898
-1245.710169,100,2.563647
-83.663448,100,2.578345
-222.587358,100,3.324962
-327.959123,100,3.34264
-168.323103,100,3.356641
-108.163908,100,3.381105
-597.759345,100,3.403013
-336.357895,100,3.419364
-189.620338,100,3.448452
-74.260045,100,3.468679
-88.187525,100,3.489682
-265.472991,100,3.510011
-56.69687,100,3.525799
-107.66953,100,3.552799
-159.190545,100,3.569512
-361.251218,100,3.597172
-330.875573,100,3.619442
-456.635415,100,3.644462
-49.910067,100,3.66067
-839.853276,100,3.686502
-71.804537,100,3.70269
-58.896079,100,3.721707
-58.039236,100,4.460999
-52.880051,100,4.477064
-62.2182,100,4.50388
-180.806355,100,4.523567
-426.811911,100,4.538929
-257.092387,100,4.556139
-68.442276,100,4.584584
-780.801311,100,4.596255
-137.315639,100,4.6271
-238.957821,100,4.66042
-910.578436,100,4.677723
-59.400134,100,4.698281
-71.86862,100,4.721953
-123.663421,100,4.734894
-628.430434,100,4.76438
-316.750871,100,4.777171
-69.926935,100,4.808964
-114.876814,100,4.824772
-97.537739,100,4.840855
-188.697177,100,4.864507
-83.213014,100,4.894342
-373.996266,100,5.609421
-131.30407,100,5.629186
-148.31661,100,5.652913
-55.134957,100,5.66947
-53.816725,100,5.698009
-251.882938,100,5.719454
-46.660705,100,5.727809
-78.249812,100,5.768702
-693.130905,100,5.785974
-112.392523,100,5.806056
-361.228859,100,5.827794
-46.836866,100,5.854819
-57.626928,100,5.868901
-55.362712,100,5.886153
-80.652501,100,5.911251
-8e-06,1,5.911251
-66.43021,100,5.927889
-78.347672,100,5.964845
-88.709398,100,5.98631
-71.616119,100,6.016235
-153.585543,100,6.036217
-103.347185,100,6.801455
-165.434954,100,6.823629
-51.366983,100,6.854732
-57.652308,100,6.864528
-359.358703,100,6.886125
-1.185104,4,6.886125
-62.669518,100,6.919991
-76.347064,100,6.933798
-43.959268,100,6.972654
-143.572805,100,6.98854
-91.198507,100,7.004492
-87.589498,100,7.019447
-84.435505,100,7.044256
-89.797347,100,7.065388
-49.826816,100,7.081359
-73.890717,100,7.094515
-69.137302,100,7.131554
-135.125578,100,7.15209
-63.045018,100,7.17757
-286.572241,100,7.294553
-53.427352,100,7.326073
-55.306541,100,7.352052
-50.739447,100,8.079865
-44.047678,100,8.094589
-63.88778,100,8.119525
-48.862246,100,8.131043
-66.299308,100,8.160321
-72.721289,100,8.176964
-65.27482,100,8.186304
-53.341449,100,8.211121
-124.143778,100,8.236268
-57.60517,100,8.244499
-48.823043,100,8.277804
-198.434218,100,8.293551
-58.98074,100,8.319563
-51.089216,100,8.331199
-62.289341,100,8.360302
-51.112514,100,8.377909
-55.016959,100,8.405133
-101.50242,100,8.410325
-65.943215,100,8.432349
-47.847948,100,8.45292
-49.596669,100,9.133197
-46.716759,100,9.157243
-1.309759,9,9.157243
-77.363752,100,9.1887
-68.456411,100,9.204831
-48.29016,100,9.236262
-47.48553,100,9.257015
-70.474926,100,9.280061
-55.806602,100,9.30297
-72.622447,100,9.311235
-60.20995,100,9.348198
-47.064555,100,9.366
-133.551196,100,9.381849
-139.25087,100,9.409009
-40.596708,100,9.428733
-140.636257,100,9.444492
-62.86923,100,9.465367
-54.964696,100,9.46959
-48.710905,100,9.506737
-58.268653,100,9.52829
-95.95988,100,9.544532
-48.961281,100,9.564757
-82.109434,100,10.277829
-54.235218,100,10.314697
-61.85506,100,10.327915
-45.457903,100,10.352891
-51.284883,100,10.368831
-46.806242,100,10.394524
-51.958418,100,10.415008
-46.345982,100,10.427975
-50.639816,100,10.460056
-51.804514,100,10.478005
-49.111052,100,10.506668
-59.615505,100,10.523005
-70.244652,100,10.554426
-53.051429,100,10.569524
-4.2e-05,1,10.569524
-54.165838,100,10.594737
